,geoRegion,ageRange,sex,pop
0,AG,0 - 9,male,37362
1,AG,0 - 9,female,34831
2,AG,10 - 19,male,35144
3,AG,10 - 19,female,33106
4,AG,20 - 29,male,41439
5,AG,20 - 29,female,39102
6,AG,30 - 39,male,50581
7,AG,30 - 39,female,48506
8,AG,40 - 49,male,48683
9,AG,40 - 49,female,46873
10,AG,50 - 59,male,54730
11,AG,50 - 59,female,52756
12,AG,60 - 69,male,40278
13,AG,60 - 69,female,41028
14,AG,70 - 79,male,27627
15,AG,70 - 79,female,29679
16,AG,80+,male,12970
17,AG,80+,female,19377
18,AI,0 - 9,male,877
19,AI,0 - 9,female,878
20,AI,10 - 19,male,861
21,AI,10 - 19,female,798
22,AI,20 - 29,male,1135
23,AI,20 - 29,female,943
24,AI,30 - 39,male,1084
25,AI,30 - 39,female,993
26,AI,40 - 49,male,995
27,AI,40 - 49,female,960
28,AI,50 - 59,male,1242
29,AI,50 - 59,female,1210
30,AI,60 - 69,male,1030
31,AI,60 - 69,female,931
32,AI,70 - 79,male,741
33,AI,70 - 79,female,651
34,AI,80+,male,396
35,AI,80+,female,568
36,AR,0 - 9,male,3042
37,AR,0 - 9,female,2870
38,AR,10 - 19,male,2695
39,AR,10 - 19,female,2556
40,AR,20 - 29,male,3276
41,AR,20 - 29,female,2753
42,AR,30 - 39,male,3620
43,AR,30 - 39,female,3556
44,AR,40 - 49,male,3592
45,AR,40 - 49,female,3430
46,AR,50 - 59,male,4403
47,AR,50 - 59,female,4367
48,AR,60 - 69,male,3628
49,AR,60 - 69,female,3534
50,AR,70 - 79,male,2460
51,AR,70 - 79,female,2518
52,AR,80+,male,1167
53,AR,80+,female,1842
54,BE,0 - 9,male,51944
55,BE,0 - 9,female,49313
56,BE,10 - 19,male,49708
57,BE,10 - 19,female,47170
58,BE,20 - 29,male,59710
59,BE,20 - 29,female,58063
60,BE,30 - 39,male,71265
61,BE,30 - 39,female,71384
62,BE,40 - 49,male,68662
63,BE,40 - 49,female,68512
64,BE,50 - 59,male,77917
65,BE,50 - 59,female,78550
66,BE,60 - 69,male,62147
67,BE,60 - 69,female,65077
68,BE,70 - 79,male,47493
69,BE,70 - 79,female,54181
70,BE,80+,male,23454
71,BE,80+,female,38582
72,BL,0 - 9,male,14197
73,BL,0 - 9,female,13402
74,BL,10 - 19,male,14514
75,BL,10 - 19,female,13640
76,BL,20 - 29,male,15550
77,BL,20 - 29,female,14724
78,BL,30 - 39,male,17661
79,BL,30 - 39,female,17929
80,BL,40 - 49,male,19223
81,BL,40 - 49,female,19658
82,BL,50 - 59,male,22725
83,BL,50 - 59,female,23203
84,BL,60 - 69,male,17466
85,BL,60 - 69,female,18194
86,BL,70 - 79,male,13571
87,BL,70 - 79,female,15824
88,BL,80+,male,7860
89,BL,80+,female,11628
90,BS,0 - 9,male,9595
91,BS,0 - 9,female,8995
92,BS,10 - 19,male,8060
93,BS,10 - 19,female,7568
94,BS,20 - 29,male,11590
95,BS,20 - 29,female,11905
96,BS,30 - 39,male,16822
97,BS,30 - 39,female,17105
98,BS,40 - 49,male,13918
99,BS,40 - 49,female,13454
100,BS,50 - 59,male,13648
101,BS,50 - 59,female,13610
102,BS,60 - 69,male,10254
103,BS,60 - 69,female,10884
104,BS,70 - 79,male,7244
105,BS,70 - 79,female,8997
106,BS,80+,male,4490
107,BS,80+,female,8596
108,FR,0 - 9,male,18472
109,FR,0 - 9,female,17191
110,FR,10 - 19,male,18326
111,FR,10 - 19,female,17577
112,FR,20 - 29,male,21997
113,FR,20 - 29,female,20926
114,FR,30 - 39,male,23057
115,FR,30 - 39,female,22563
116,FR,40 - 49,male,22731
117,FR,40 - 49,female,22580
118,FR,50 - 59,male,24543
119,FR,50 - 59,female,24071
120,FR,60 - 69,male,17062
121,FR,60 - 69,female,16956
122,FR,70 - 79,male,11680
123,FR,70 - 79,female,12809
124,FR,80+,male,5117
125,FR,80+,female,7838
126,GE,0 - 9,male,27334
127,GE,0 - 9,female,25749
128,GE,10 - 19,male,27142
129,GE,10 - 19,female,26263
130,GE,20 - 29,male,32267
131,GE,20 - 29,female,32413
132,GE,30 - 39,male,37506
133,GE,30 - 39,female,38793
134,GE,40 - 49,male,37512
135,GE,40 - 49,female,39066
136,GE,50 - 59,male,35307
137,GE,50 - 59,female,36926
138,GE,60 - 69,male,22821
139,GE,60 - 69,female,24723
140,GE,70 - 79,male,15859
141,GE,70 - 79,female,20990
142,GE,80+,male,9572
143,GE,80+,female,16100
144,GL,0 - 9,male,2036
145,GL,0 - 9,female,1973
146,GL,10 - 19,male,1962
147,GL,10 - 19,female,1850
148,GL,20 - 29,male,2521
149,GL,20 - 29,female,2247
150,GL,30 - 39,male,2936
151,GL,30 - 39,female,2676
152,GL,40 - 49,male,2701
153,GL,40 - 49,female,2507
154,GL,50 - 59,male,3159
155,GL,50 - 59,female,3048
156,GL,60 - 69,male,2650
157,GL,60 - 69,female,2594
158,GL,70 - 79,male,1800
159,GL,70 - 79,female,1924
160,GL,80+,male,860
161,GL,80+,female,1407
162,GR,0 - 9,male,8989
163,GR,0 - 9,female,8476
164,GR,10 - 19,male,9155
165,GR,10 - 19,female,8541
166,GR,20 - 29,male,11858
167,GR,20 - 29,female,10930
168,GR,30 - 39,male,13303
169,GR,30 - 39,female,12554
170,GR,40 - 49,male,13281
171,GR,40 - 49,female,12907
172,GR,50 - 59,male,16138
173,GR,50 - 59,female,15651
174,GR,60 - 69,male,13156
175,GR,60 - 69,female,13170
176,GR,70 - 79,male,9703
177,GR,70 - 79,female,10409
178,GR,80+,male,4706
179,GR,80+,female,7169
180,JU,0 - 9,male,3751
181,JU,0 - 9,female,3536
182,JU,10 - 19,male,4113
183,JU,10 - 19,female,3843
184,JU,20 - 29,male,4761
185,JU,20 - 29,female,4302
186,JU,30 - 39,male,4482
187,JU,30 - 39,female,4290
188,JU,40 - 49,male,4449
189,JU,40 - 49,female,4651
190,JU,50 - 59,male,5389
191,JU,50 - 59,female,5454
192,JU,60 - 69,male,4492
193,JU,60 - 69,female,4669
194,JU,70 - 79,male,3372
195,JU,70 - 79,female,3710
196,JU,80+,male,1665
197,JU,80+,female,2780
198,LU,0 - 9,male,22385
199,LU,0 - 9,female,20947
200,LU,10 - 19,male,21111
201,LU,10 - 19,female,19824
202,LU,20 - 29,male,27130
203,LU,20 - 29,female,26048
204,LU,30 - 39,male,30382
205,LU,30 - 39,female,29597
206,LU,40 - 49,male,28016
207,LU,40 - 49,female,27558
208,LU,50 - 59,male,31266
209,LU,50 - 59,female,30856
210,LU,60 - 69,male,23240
211,LU,60 - 69,female,23369
212,LU,70 - 79,male,15710
213,LU,70 - 79,female,17392
214,LU,80+,male,8342
215,LU,80+,female,13174
216,NE,0 - 9,male,8954
217,NE,0 - 9,female,8428
218,NE,10 - 19,male,9788
219,NE,10 - 19,female,9311
220,NE,20 - 29,male,11273
221,NE,20 - 29,female,10542
222,NE,30 - 39,male,11510
223,NE,30 - 39,female,11522
224,NE,40 - 49,male,12086
225,NE,40 - 49,female,12402
226,NE,50 - 59,male,12759
227,NE,50 - 59,female,12751
228,NE,60 - 69,male,9208
229,NE,60 - 69,female,9779
230,NE,70 - 79,male,7026
231,NE,70 - 79,female,8409
232,NE,80+,male,3580
233,NE,80+,female,6566
234,NW,0 - 9,male,2072
235,NW,0 - 9,female,1855
236,NW,10 - 19,male,2053
237,NW,10 - 19,female,1883
238,NW,20 - 29,male,2545
239,NW,20 - 29,female,2237
240,NW,30 - 39,male,2870
241,NW,30 - 39,female,2646
242,NW,40 - 49,male,2821
243,NW,40 - 49,female,2800
244,NW,50 - 59,male,3719
245,NW,50 - 59,female,3524
246,NW,60 - 69,male,3039
247,NW,60 - 69,female,2781
248,NW,70 - 79,male,2216
249,NW,70 - 79,female,2190
250,NW,80+,male,963
251,NW,80+,female,1306
252,OW,0 - 9,male,1965
253,OW,0 - 9,female,1880
254,OW,10 - 19,male,1885
255,OW,10 - 19,female,1859
256,OW,20 - 29,male,2226
257,OW,20 - 29,female,2033
258,OW,30 - 39,male,2505
259,OW,30 - 39,female,2463
260,OW,40 - 49,male,2594
261,OW,40 - 49,female,2452
262,OW,50 - 59,male,3117
263,OW,50 - 59,female,2987
264,OW,60 - 69,male,2472
265,OW,60 - 69,female,2362
266,OW,70 - 79,male,1700
267,OW,70 - 79,female,1677
268,OW,80+,male,804
269,OW,80+,female,1127
270,SG,0 - 9,male,27524
271,SG,0 - 9,female,25864
272,SG,10 - 19,male,26517
273,SG,10 - 19,female,25278
274,SG,20 - 29,male,34263
275,SG,20 - 29,female,31518
276,SG,30 - 39,male,37354
277,SG,30 - 39,female,34794
278,SG,40 - 49,male,33889
279,SG,40 - 49,female,32580
280,SG,50 - 59,male,38664
281,SG,50 - 59,female,37973
282,SG,60 - 69,male,29056
283,SG,60 - 69,female,29670
284,SG,70 - 79,male,20744
285,SG,70 - 79,female,22750
286,SG,80+,male,10097
287,SG,80+,female,15969
288,SH,0 - 9,male,4051
289,SH,0 - 9,female,3811
290,SH,10 - 19,male,3932
291,SH,10 - 19,female,3721
292,SH,20 - 29,male,4934
293,SH,20 - 29,female,4498
294,SH,30 - 39,male,5730
295,SH,30 - 39,female,5407
296,SH,40 - 49,male,5366
297,SH,40 - 49,female,5203
298,SH,50 - 59,male,6247
299,SH,50 - 59,female,6433
300,SH,60 - 69,male,5197
301,SH,60 - 69,female,5352
302,SH,70 - 79,male,3716
303,SH,70 - 79,female,4263
304,SH,80+,male,1989
305,SH,80+,female,3257
306,SO,0 - 9,male,13867
307,SO,0 - 9,female,13242
308,SO,10 - 19,male,13331
309,SO,10 - 19,female,12411
310,SO,20 - 29,male,16464
311,SO,20 - 29,female,15596
312,SO,30 - 39,male,19304
313,SO,30 - 39,female,18630
314,SO,40 - 49,male,18044
315,SO,40 - 49,female,17675
316,SO,50 - 59,male,22112
317,SO,50 - 59,female,21711
318,SO,60 - 69,male,17619
319,SO,60 - 69,female,17482
320,SO,70 - 79,male,11972
321,SO,70 - 79,female,12809
322,SO,80+,male,5913
323,SO,80+,female,9280
324,SZ,0 - 9,male,8165
325,SZ,0 - 9,female,7681
326,SZ,10 - 19,male,7857
327,SZ,10 - 19,female,7396
328,SZ,20 - 29,male,9561
329,SZ,20 - 29,female,8844
330,SZ,30 - 39,male,11274
331,SZ,30 - 39,female,10590
332,SZ,40 - 49,male,11761
333,SZ,40 - 49,female,11059
334,SZ,50 - 59,male,14264
335,SZ,50 - 59,female,12798
336,SZ,60 - 69,male,10306
337,SZ,60 - 69,female,9389
338,SZ,70 - 79,male,6723
339,SZ,70 - 79,female,6761
340,SZ,80+,male,3198
341,SZ,80+,female,4530
342,TG,0 - 9,male,15333
343,TG,0 - 9,female,14340
344,TG,10 - 19,male,14161
345,TG,10 - 19,female,13334
346,TG,20 - 29,male,17295
347,TG,20 - 29,female,16219
348,TG,30 - 39,male,20686
349,TG,30 - 39,female,19305
350,TG,40 - 49,male,18763
351,TG,40 - 49,female,18045
352,TG,50 - 59,male,22586
353,TG,50 - 59,female,22256
354,TG,60 - 69,male,17171
355,TG,60 - 69,female,16901
356,TG,70 - 79,male,11185
357,TG,70 - 79,female,11910
358,TG,80+,male,5347
359,TG,80+,female,8072
360,TI,0 - 9,male,14794
361,TI,0 - 9,female,14099
362,TI,10 - 19,male,17235
363,TI,10 - 19,female,16409
364,TI,20 - 29,male,19222
365,TI,20 - 29,female,18068
366,TI,30 - 39,male,19942
367,TI,30 - 39,female,19943
368,TI,40 - 49,male,24075
369,TI,40 - 49,female,25308
370,TI,50 - 59,male,28915
371,TI,50 - 59,female,29111
372,TI,60 - 69,male,20629
373,TI,60 - 69,female,21893
374,TI,70 - 79,male,16474
375,TI,70 - 79,female,19613
376,TI,80+,male,9544
377,TI,80+,female,15712
378,UR,0 - 9,male,1788
379,UR,0 - 9,female,1743
380,UR,10 - 19,male,2002
381,UR,10 - 19,female,1782
382,UR,20 - 29,male,2308
383,UR,20 - 29,female,2118
384,UR,30 - 39,male,2365
385,UR,30 - 39,female,2162
386,UR,40 - 49,male,2408
387,UR,40 - 49,female,2316
388,UR,50 - 59,male,2854
389,UR,50 - 59,female,2660
390,UR,60 - 69,male,2440
391,UR,60 - 69,female,2285
392,UR,70 - 79,male,1743
393,UR,70 - 79,female,1769
394,UR,80+,male,860
395,UR,80+,female,1216
396,VD,0 - 9,male,44493
397,VD,0 - 9,female,42603
398,VD,10 - 19,male,46963
399,VD,10 - 19,female,44142
400,VD,20 - 29,male,54520
401,VD,20 - 29,female,52102
402,VD,30 - 39,male,59253
403,VD,30 - 39,female,59225
404,VD,40 - 49,male,58141
405,VD,40 - 49,female,59818
406,VD,50 - 59,male,56976
407,VD,50 - 59,female,57674
408,VD,60 - 69,male,38235
409,VD,60 - 69,female,40740
410,VD,70 - 79,male,27461
411,VD,70 - 79,female,34046
412,VD,80+,male,14175
413,VD,80+,female,24195
414,VS,0 - 9,male,17035
415,VS,0 - 9,female,16431
416,VS,10 - 19,male,17654
417,VS,10 - 19,female,16648
418,VS,20 - 29,male,21795
419,VS,20 - 29,female,20743
420,VS,30 - 39,male,23884
421,VS,30 - 39,female,22985
422,VS,40 - 49,male,23203
423,VS,40 - 49,female,22640
424,VS,50 - 59,male,26434
425,VS,50 - 59,female,26386
426,VS,60 - 69,male,20392
427,VS,60 - 69,female,21353
428,VS,70 - 79,male,15391
429,VS,70 - 79,female,17359
430,VS,80+,male,7167
431,VS,80+,female,11003
432,ZG,0 - 9,male,6768
433,ZG,0 - 9,female,6426
434,ZG,10 - 19,male,6560
435,ZG,10 - 19,female,6236
436,ZG,20 - 29,male,6874
437,ZG,20 - 29,female,6442
438,ZG,30 - 39,male,9389
439,ZG,30 - 39,female,9094
440,ZG,40 - 49,male,9914
441,ZG,40 - 49,female,9549
442,ZG,50 - 59,male,10989
443,ZG,50 - 59,female,9977
444,ZG,60 - 69,male,7309
445,ZG,60 - 69,female,6918
446,ZG,70 - 79,male,4998
447,ZG,70 - 79,female,5300
448,ZG,80+,male,2426
449,ZG,80+,female,3625
450,ZH,0 - 9,male,83884
451,ZH,0 - 9,female,79562
452,ZH,10 - 19,male,74061
453,ZH,10 - 19,female,69562
454,ZH,20 - 29,male,95413
455,ZH,20 - 29,female,90891
456,ZH,30 - 39,male,129509
457,ZH,30 - 39,female,126244
458,ZH,40 - 49,male,117497
459,ZH,40 - 49,female,113149
460,ZH,50 - 59,male,114265
461,ZH,50 - 59,female,108798
462,ZH,60 - 69,male,74674
463,ZH,60 - 69,female,79288
464,ZH,70 - 79,male,55346
465,ZH,70 - 79,female,64572
466,ZH,80+,male,29650
467,ZH,80+,female,47058
468,FL,0 - 9,male,1981
469,FL,0 - 9,female,1803
470,FL,10 - 19,male,2022
471,FL,10 - 19,female,1855
472,FL,20 - 29,male,2253
473,FL,20 - 29,female,2230
474,FL,30 - 39,male,2503
475,FL,30 - 39,female,2507
476,FL,40 - 49,male,2683
477,FL,40 - 49,female,2745
478,FL,50 - 59,male,3194
479,FL,50 - 59,female,3240
480,FL,60 - 69,male,2440
481,FL,60 - 69,female,2544
482,FL,70 - 79,male,1668
483,FL,70 - 79,female,1778
484,FL,80+,male,624
485,FL,80+,female,985
486,CH,0 - 9,male,450677
487,CH,0 - 9,female,426126
488,CH,10 - 19,male,436790
489,CH,10 - 19,female,412708
490,CH,20 - 29,male,531927
491,CH,20 - 29,female,506207
492,CH,30 - 39,male,628274
493,CH,30 - 39,female,614956
494,CH,40 - 49,male,604325
495,CH,40 - 49,female,597152
496,CH,50 - 59,male,654368
497,CH,50 - 59,female,644741
498,CH,60 - 69,male,475971
499,CH,60 - 69,female,491322
500,CH,70 - 79,male,343955
501,CH,70 - 79,female,392512
502,CH,80+,male,176312
503,CH,80+,female,281977
504,CHFL,0 - 9,male,452658
505,CHFL,0 - 9,female,427929
506,CHFL,10 - 19,male,438812
507,CHFL,10 - 19,female,414563
508,CHFL,20 - 29,male,534180
509,CHFL,20 - 29,female,508437
510,CHFL,30 - 39,male,630777
511,CHFL,30 - 39,female,617463
512,CHFL,40 - 49,male,607008
513,CHFL,40 - 49,female,599897
514,CHFL,50 - 59,male,657562
515,CHFL,50 - 59,female,647981
516,CHFL,60 - 69,male,478411
517,CHFL,60 - 69,female,493866
518,CHFL,70 - 79,male,345623
519,CHFL,70 - 79,female,394290
520,CHFL,80+,male,176936
521,CHFL,80+,female,282962
